PG,SG,SF,PF,C,G,F,UTIL
Devin Booker (11999128),Dennis Schroder (11999229),Mikal Bridges (11999314),Julius Randle (11999124),DeMarcus Cousins (11999182),Russell Westbrook (11999091),Kentavious Caldwell-Pope (11999259),Jahlil Okafor (11999227)
Dennis Schroder (11999229),Andrew Wiggins (11999191),Brandon Ingram (11999155),Draymond Green (11999164),Steven Adams (11999140),Devin Booker (11999128),Julius Randle (11999124),Jahlil Okafor (11999227)
Dennis Schroder (11999229),Brandon Ingram (11999155),Josh Jackson (11999213),Julius Randle (11999124),Jahlil Okafor (11999227),Andrew Wiggins (11999191),Kentavious Caldwell-Pope (11999259),Russell Westbrook (11999091)
Damian Lillard (11999115),Devin Booker (11999128),Josh Jackson (11999213),Julius Randle (11999124),DeMarcus Cousins (11999182),Andrew Wiggins (11999191),Josh Hart (11999235),Jahlil Okafor (11999227)
Devin Booker (11999128),Mikal Bridges (11999314),Brandon Ingram (11999155),Jeff Green (11999264),Jahlil Okafor (11999227),Dennis Schroder (11999229),Julius Randle (11999124),Russell Westbrook (11999091)
Devin Booker (11999128),Andrew Wiggins (11999191),Josh Jackson (11999213),DeMarcus Cousins (11999182),Jahlil Okafor (11999227),Brandon Ingram (11999155),Julius Randle (11999124),Draymond Green (11999164)
Devin Booker (11999128),Dennis Schroder (11999229),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),Karl-Anthony Towns (11999098),E'Twaun Moore (11999291),Brandon Ingram (11999155),Jahlil Okafor (11999227)
Devin Booker (11999128),Josh Hart (11999235),Andrew Wiggins (11999191),Josh Jackson (11999213),Julius Randle (11999124),Dennis Schroder (11999229),Darius Miller (11999355),Russell Westbrook (11999091)
Dennis Schroder (11999229),Mikal Bridges (11999314),Andrew Wiggins (11999191),Julius Randle (11999124),Meyers Leonard (11999343),Devin Booker (11999128),Draymond Green (11999164),Russell Westbrook (11999091)
Devin Booker (11999128),Dennis Schroder (11999229),Andrew Wiggins (11999191),Julius Randle (11999124),Jusuf Nurkic (11999122),Kentavious Caldwell-Pope (11999259),Brandon Ingram (11999155),Jahlil Okafor (11999227)
Devin Booker (11999128),Dennis Schroder (11999229),Andrew Wiggins (11999191),Julius Randle (11999124),Zach Collins (11999347),Andre Iguodala (11999296),DeMarcus Cousins (11999182),Russell Westbrook (11999091)
Dennis Schroder (11999229),Brandon Ingram (11999155),Andrew Wiggins (11999191),Julius Randle (11999124),Zach Collins (11999347),Devin Booker (11999128),Sam Dekker (11999334),Russell Westbrook (11999091)
Devin Booker (11999128),Dennis Schroder (11999229),Andrew Wiggins (11999191),Sam Dekker (11999334),Jahlil Okafor (11999227),Russell Westbrook (11999091),Kentavious Caldwell-Pope (11999259),Julius Randle (11999124)
Devin Booker (11999128),Andrew Wiggins (11999191),Mikal Bridges (11999314),Julius Randle (11999124),DeMarcus Cousins (11999182),Russell Westbrook (11999091),Sam Dekker (11999334),Jahlil Okafor (11999227)
Devin Booker (11999128),Dennis Schroder (11999229),Darius Miller (11999355),DeMarcus Cousins (11999182),Julius Randle (11999124),Andrew Wiggins (11999191),Mikal Bridges (11999314),Karl-Anthony Towns (11999098)
Dennis Schroder (11999229),Devin Booker (11999128),E'Twaun Moore (11999291),Meyers Leonard (11999343),Julius Randle (11999124),Andrew Wiggins (11999191),DeMarcus Cousins (11999182),Karl-Anthony Towns (11999098)
