PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SG/SF,Torrey Craig (12011158),Torrey Craig,12011158,SG/SF/F/G/UTIL,4500,DEN@MEM 01/28/2019 08:00PM ET,DEN,15.26
,,,,,,,,,SG/SF,Justin Holiday (12011163),Justin Holiday,12011163,SG/SF/F/G/UTIL,4500,DEN@MEM 01/28/2019 08:00PM ET,MEM,23.42
,,,,,,,,,SG/SF,Theo Pinson (12011168),Theo Pinson,12011168,SG/SF/F/G/UTIL,4400,BKN@BOS 01/28/2019 07:30PM ET,BKN,10.75
,,,,,,,,,SG/SF,Jaylen Brown (12011173),Jaylen Brown,12011173,SG/SF/F/G/UTIL,4400,BKN@BOS 01/28/2019 07:30PM ET,BOS,22.23
,,,,,,,,,C,Alex Len (12011178),Alex Len,12011178,C/UTIL,4300,ATL@LAC 01/28/2019 10:30PM ET,ATL,21.69
,,,,,,,,,C,Bismack Biyombo (12011184),Bismack Biyombo,12011184,C/UTIL,4200,NY@CHA 01/28/2019 07:00PM ET,CHA,14.85
,,,,,,,,,PG/SG,Trey Burke (12011193),Trey Burke,12011193,PG/SG/G/UTIL,4200,NY@CHA 01/28/2019 07:00PM ET,NY,19.83
,,,,,,,,,PG,Cory Joseph (12011186),Cory Joseph,12011186,PG/G/UTIL,4200,GS@IND 01/28/2019 07:00PM ET,IND,19.83
,,,,,,,,,PG/SG,Jeremy Lin (12011189),Jeremy Lin,12011189,PG/SG/G/UTIL,4200,ATL@LAC 01/28/2019 10:30PM ET,ATL,20.66
,,,,,,,,,PG/SG,Malik Beasley (12011180),Malik Beasley,12011180,PG/SG/G/UTIL,4200,DEN@MEM 01/28/2019 08:00PM ET,DEN,17.42
,,,,,,,,,PF/C,Luke Kornet (12011197),Luke Kornet,12011197,PF/C/F/UTIL,4100,NY@CHA 01/28/2019 07:00PM ET,NY,15.52
,,,,,,,,,PG/SG,Frank Ntilikina (12011201),Frank Ntilikina,12011201,PG/SG/G/UTIL,4100,NY@CHA 01/28/2019 07:00PM ET,NY,14.5
,,,,,,,,,C,Mitchell Robinson (12011205),Mitchell Robinson,12011205,C/UTIL,4100,NY@CHA 01/28/2019 07:00PM ET,NY,15.93
,,,,,,,,,C,Cody Zeller (12011210),Cody Zeller,12011210,C/UTIL,4000,NY@CHA 01/28/2019 07:00PM ET,CHA,22.84
,,,,,,,,,PG,Isaiah Thomas (12011207),Isaiah Thomas,12011207,PG/G/UTIL,4000,DEN@MEM 01/28/2019 08:00PM ET,DEN,0
,,,,,,,,,SG/SF,Allen Crabbe (12011212),Allen Crabbe,12011212,SG/SF/F/G/UTIL,4000,BKN@BOS 01/28/2019 07:30PM ET,BKN,17.78
